id,title,release_date,vote_average,vote_count,popularity,original_language,overview,budget,revenue,release_year,roi
324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.395,16627,12.8723,en,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",90000000,393602435,2018,3.373360388888889
255709,Hope,2013-10-02,8.395,808,2.7353,ko,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",0,0,2013,0.0
1891,The Empire Strikes Back,1980-05-20,8.394,17859,7.298,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",18000000,538400000,1980,28.91111111111111
4935,Howl's Moving Castle,2004-09-09,8.392,10634,11.6221,ja,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",24000000,236049757,2004,8.835406541666666
378064,A Silent Voice: The Movie,2016-09-17,8.386,4273,8.6107,ja,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",0,30819442,2016,0.0
423,The Pianist,2002-09-17,8.38,9783,7.6965,en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",35000000,120098945,2002,2.4313984285714287
807,Se7en,1995-09-22,8.377,22322,14.0893,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",33000000,327311859,1995,8.918541181818181
244786,Whiplash,2014-10-10,8.376,16092,13.6654,en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",3300000,50307484,2014,14.244692121212122
1084242,Zootopia 2,2025-11-26,7.633,214,601.095,en,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De’Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",150000000,556400000,2025,2.7093333333333334
1033462,Bureau 749,2024-10-01,5.814,44,342.5964,zh,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,0,51706251,2024,0.0
1419406,The Shadow's Edge,2025-08-16,6.332,128,356.7852,zh,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,0,174400000,2025,0.0
1309012,Altered,2025-09-18,6.395,43,309.8589,en,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.",15000000,0,2025,-1.0
1363123,The Family Plan 2,2025-11-11,6.734,258,241.8397,en,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",0,0,2025,0.0
1448560,Wildcat,2025-11-19,6.4,19,267.6062,en,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,0,0,2025,0.0
967941,Wicked: For Good,2025-11-19,6.777,343,213.196,en,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",150000000,393258920,2025,1.6217261333333333
1196573,She Rides Shotgun,2025-07-31,7.1,101,217.8869,en,"Newly released from prison and marked for death by unrelenting enemies, Nate must now protect his estranged 11-year-old daughter, Polly, at all costs. With scant resources and no one to trust, Nate and Polly forge a bond under fire as he shows her how to fight and survive—and she teaches him the true meaning of unconditional love.",0,23443,2025,0.0
949709,High Forces,2024-09-29,6.1,22,253.9636,zh,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",0,41923655,2024,0.0
1246049,Dracula,2025-07-30,7.036,478,228.787,fr,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",52000000,25788866,2025,-0.5040602692307692
1062722,Frankenstein,2025-10-17,7.773,1988,189.4329,en,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",120000000,480678,2025,-0.99599435
1469354,Border Hunters,2025-10-20,8.8,5,208.104,en,"After his police officer brother is killed by a drug dealer who flees to the protection of his cartel-connected uncle in Mexico, an American man with a diverse law enforcement/military background goes south of the border to get revenge",0,0,2025,0.0
1208561,Art of Eight Limbs,2024-08-16,6.293,29,168.087,en,Four canisters of deadly VX nerve gas have fallen into the hands of an international arms dealer in Myanmar. A CIA recruit delivers a high-tech detection device to an agent already on the ground.,0,0,2024,0.0
1242898,Predator: Badlands,2025-11-05,7.4,502,200.6658,en,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",105000000,160221424,2025,0.5259183238095239
755898,War of the Worlds,2025-07-29,4.3,759,174.7252,en,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",0,0,2025,0.0
1433719,High Ground,2025-03-17,6.0,33,137.8973,en,"When a mysterious prisoner lands in jail, a border town sheriff faces the wrath of a brutal cartel.",0,0,2025,0.0
1116465,A Legend,2024-07-05,6.863,118,144.6489,zh,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,0,11242056,2024,0.0
1539104,JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-,2025-11-07,4.526,39,146.9856,ja,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",0,0,2025,0.0
701387,Bugonia,2025-10-23,7.555,532,140.7863,en,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",50000000,32857834,2025,-0.34284332
1054867,One Battle After Another,2025-09-23,7.492,1714,136.917,en,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",130000000,201175005,2025,0.5475000384615385
203101,High School of the Dead: Drifters of the Dead,2011-04-25,7.4,472,126.5328,ja,"In their efforts to find a safe haven from the zombie apocalypse, the gang find themselves on a deserted island. Now, they take advantage of the momentary respite to enjoy some surf, sand and bathing suits!",0,0,2011,0.0
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.596,581,127.364,ja,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",20000000,740400000,2025,36.02
425274,Now You See Me: Now You Don't,2025-11-12,6.315,294,116.7132,en,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",90000000,146060630,2025,0.6228958888888889
269149,Zootopia,2016-02-11,7.754,17151,131.3962,en,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",150000000,1025521689,2016,5.83681126
1327862,Regretting You,2025-10-22,7.039,114,105.2029,en,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",30000000,83106420,2025,1.770214
1248226,Playdate,2025-11-05,6.172,337,99.1178,en,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",0,0,2025,0.0
803796,KPop Demon Hunters,2025-06-20,8.211,1970,94.9735,en,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",100000000,24619953,2025,-0.75380047
1426968,The Gentleman,2025-09-26,6.906,16,82.2266,es,"Aging ex-soldier Theo meets weekly with prostitute Olga to reminisce. After Olga's murder, Theo seeks bloody revenge, attracting attention of alcoholic cop Iborra and hitman Herodes.",0,0,2025,0.0
1197137,Black Phone 2,2025-10-15,6.871,628,89.54,en,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",30000000,130515847,2025,3.3505282333333333
1130276,Succubus,2024-10-06,8.952,196,110.9879,en,A new father going through a marital separation joins a dating app and matches with a beautiful but mysterious young woman... whose powers of seduction and manipulation entangle him in a mystery more horrifying than he could have ever imagined.,0,0,2024,0.0
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,7.846,224,85.0637,ja,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",4100000,168300000,2025,40.048780487804876
1244531,Beast of War,2025-09-18,6.4,48,72.6649,en,"When their boat sinks while crossing the Timor Sea during World War II, a troop of young Australian soldiers must find a way to survive the harsh seas on a quickly shrinking raft. Hundreds of miles from anywhere, they must confront interpersonal conflicts, enemy attacks, and the advances of one very large, very hungry great white shark.",0,186472,2025,0.0
1481331,Nahual,2025-02-06,3.2,8,70.7413,en,"Katia Montero's exotic getaway spirals into terror when she becomes possessed by a bloodthirsty animal spirit. Erotic encounters, violence, and ancient legends converge to deliver a chilling new twist on a South American myth.",0,0,2025,0.0
1128650,The Prosecutor,2024-12-08,6.801,153,71.2383,cn,"A poor young man is wrongly charged with drug trafficking after being deceived. An ex-prosecutor investigates the case, uncovers a corrupt lawyer team's scheme, and restores justice despite obstruction from evil forces.",38500000,128093757,2024,2.3271105714285714
1026821,The Storm,2024-01-12,6.0,14,70.1814,zh,"Poverty-stricken Daguzi encounters a child - Mantou - floating downstream at the river bank, he decides to take him by his side as his son, with compassion and affection.",0,0,2024,0.0
1084222,Operation Blood Hunt,2024-12-12,6.724,49,69.6498,en,"Prolific expert of the occult and whiskey, Reverend Conte, accompanies a ragtag group of military rejects to a remote South Pacific Island to investigate the disappearance of Marines units  stationed there in 1944, said to be at the hands of the Japanese Imperial Army. Upon speaking  with the island’s inhabitants, they soon discover the Marines had actually been massacred by a group of Lycanthropes, known to most as WEREWOLVES.",0,0,2024,0.0
1522377,Two Worlds One Wish,2025-11-24,7.917,12,72.171,tr,"Twenty-one years after a magical meeting at a children's hospital, Bilge and Can suddenly begin hearing each other's voices telepathically. What seems like a miracle soon reveals a hidden secret, as fate-reuniting them after decades-has much more in store. A thrilling adventure and an epic love story await.",0,0,2025,0.0
1237082,31 Minutes: One Hot Christmas,2025-11-19,7.435,23,66.7272,es,"Puppeton, the town of 31 Minutes, faces such an infernally hot Christmas that Santa Claus cancels his visit! Bodoque the rabbit heroically volunteers to rescue the presents from the North Pole, while his friends improvise a disastrous Christmas show. But what they don't expect is Bodoque giving in to some irresistible temptations along the way.",0,0,2025,0.0
1241983,Train Dreams,2025-11-05,7.3,171,57.6475,en,A logger leads a life of quiet grace as he experiences love and loss during an era of monumental change in early 20th-century America.,10000000,0,2025,-1.0
1550797,Prep & Landing: The Snowball Protocol,2025-11-27,7.857,7,65.0503,en,"Christmas elves Lanny and Wayne panic when their holiday missions go awry, leaving Wayne thinking he’s in BIG trouble with Santa and accidentally revealing other merry mishaps.",0,0,2025,0.0
